model_id,parameter,coef,std_err,t_value,p_value
M037,omega,0.006900828292979524,0.002522341629451554,2.7358816951691067,0.006221338821264476
M038,Const,0.02718216010541308,0.018540856556848898,1.4660681949654655,0.14262970935465036
M038,Inflation_lag_1,0.4533432635490075,0.04634595271681136,9.781722825271935,1.3489453043070836e-22
M038,Inflation_lag_2,-0.034327041648899166,0.049039586183342664,-0.6999863644966702,0.48393581996588164
M038,SPF,0.3402453361350802,0.3995908891258234,0.8514842189706271,0.39450042596453017
M038,SPF_lag_1,0.2361317664680601,0.38985162302978965,0.6056965073863926,0.544716303693481
M038,alpha[1],0.31724513348652045,0.08275977302085215,3.8333253210661584,0.00012642258323280228
M038,beta[1],0.6359428578618407,0.07655673132186201,8.30681831475003,9.830228605998643e-17
M038,gamma[1],-0.10681317809239793,0.08428779917661318,-1.2672436477856777,0.20506818322021803
M038,omega,0.006704911088294508,0.0022626443281068527,2.9633075799873883,0.003043522813182653
M039,Const,0.02399886625906644,0.0043469661478495285,5.520831182671811,3.373998200346532e-08
M039,Inflation_lag_1,0.46010150614216444,0.024180302415842805,19.027946724136434,1.0009863900330546e-80
M039,Inflation_lag_2,-0.026878305782275524,0.0023955101701823712,-11.220284562694745,3.242254716665456e-29
M039,SPF,0.37209386184704624,0.008329201073418223,44.67341568143252,0.0
M039,SPF_lag_1,0.21046911273661242,0.0046260240921934,45.4967610505504,0.0
M039,alpha[1],0.44442821961037726,0.12962233601269155,3.428639178103244,0.0006066154170227534
M039,beta[1],0.8455544810106673,0.07496746868620281,11.278952001833899,1.667202310312395e-29
M039,gamma[1],0.02231720364422226,0.045884826617489036,0.486374370121648,0.6267017589166844
M039,omega,-0.44644891919118507,0.22256243737451406,-2.0059490921189407,0.044861679737052115
M040,Const,0.023093728777353204,0.01910421489512209,1.2088289890023045,0.22672855197859443
M040,Inflation_lag_1,0.453662386809263,0.046512150037078266,9.753631824106503,1.779843486275413e-22
M040,Inflation_lag_2,-0.02568275422228538,0.04846715300976521,-0.5299002030738383,0.596181125365532
M040,SPF,0.33172663511386985,0.41555997923726473,0.7982641536433178,0.42471721534759677
M040,SPF_lag_1,0.2370808411109752,0.40193782733899236,0.5898445604897555,0.5552948650363158
M040,alpha[1],0.2679851649250091,0.08223043761427218,3.258953408251068,0.0011182403089326808
M040,beta[1],0.6294605103860959,0.19202399033991105,3.2780305693671767,0.0010453407433652895
M040,beta[2],0.0,0.1384775133502085,0.0,1.0
M040,omega,0.006900671441780579,0.002628917519182219,2.6249098313009,0.008667191643409945
M041,Const,0.027181837896087482,0.018618476114686654,1.4599389192032672,0.14430686170372292
M041,Inflation_lag_1,0.45334486797237405,0.04621749975027284,9.808944023842349,1.0304117059447128e-22
M041,Inflation_lag_2,-0.03432833486502346,0.0488590108982124,-0.7025998732667637,0.4823051415108769
M041,SPF,0.3402629571379845,0.40354642657819795,0.8431816879737614,0.39912683822516404
M041,SPF_lag_1,0.23611392941520015,0.3927705393729403,0.6011497954814965,0.5477402196423544
M041,alpha[1],0.31724259495146473,0.08369875401784364,3.790290532686211,0.00015047117991897192
M041,beta[1],0.6359445760372966,0.18673870962583786,3.405531597125832,0.0006603537140552545
M041,beta[2],0.0,0.13225413189814833,0.0,1.0
M041,gamma[1],-0.10681332520937681,0.08227789197387043,-1.2982020157164242,0.194217925659263
M041,omega,0.0067048637671593735,0.0024005118220691993,2.793097582572994,0.00522059405051827
M042,Const,0.023384419939160482,0.003423966468979693,6.829628780251695,8.513464240954318e-12
