model_id,distribution,distribution_label,mean_spec,mean_label,vol_family,vol_spec,vol_order,phase,attempt,start_type,loglikelihood,optimizer_success,convergence_flag,stable_by_proxy,persistence_proxy,implied_initial_variance,implied_initial_variance_status,error_message
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,2,random_2,-188.96959360506798,True,0,True,0.8193019650548528,0.2898025582923879,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,3,random_3,-188.96959354472324,True,0,True,0.8193132362942372,0.28980862792642487,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,4,random_4,-188.96959366567265,True,0,True,0.8193190001721892,0.2897868709892507,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,5,random_5,-188.96959353492966,True,0,True,0.819315560783035,0.289807113498722,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,6,random_6,-188.96959390667507,True,0,True,0.8193205049825956,0.28982033447389505,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,7,random_7,-188.96959353970482,True,0,True,0.8193162332501178,0.2898116204956465,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,8,random_8,-188.96959356385528,True,0,True,0.8193115192616849,0.28981485794237194,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,9,random_9,-188.96959394622584,True,0,True,0.8193600717838467,0.2898157037733433,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,10,random_10,-188.96959364173614,True,0,True,0.8193001440558371,0.28981188665219426,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,11,random_11,-188.96959380724545,True,0,True,0.8193068911236925,0.2898230085843059,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,12,random_12,-188.96959355881967,True,0,True,0.8193067661176662,0.2898002658632438,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,13,random_13,-188.96959361690637,True,0,True,0.8193318594735433,0.2898179079583427,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,14,random_14,-188.96959369392647,True,0,True,0.8192925358887149,0.28981848662629894,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,15,random_15,-188.96959377527924,True,0,True,0.8192814206964733,0.28979308406132537,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,16,random_16,-188.96959377198345,True,0,True,0.81929472603276,0.28978436951941294,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,17,random_17,-188.96959356576357,True,0,True,0.8193196950319643,0.28979411979400754,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,18,random_18,-188.9695936809469,True,0,True,0.8193092335171134,0.2898279241413162,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,19,random_19,-188.96959354574125,True,0,True,0.8193217840302791,0.28980259317094426,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,20,random_20,-188.96959362005254,True,0,True,0.819310513003652,0.2898280758762678,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,21,random_21,-188.9695935362882,True,0,True,0.8193170406883262,0.2898045676371925,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,22,random_22,-188.96959382679796,True,0,True,0.8192875513221433,0.2898241276180428,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,23,random_23,-188.9695939529118,True,0,True,0.8193429194295796,0.28978405341361546,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,24,random_24,-188.96959359637916,True,0,True,0.8193289714367504,0.28980257639807033,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,25,random_25,-188.9695935423926,True,0,True,0.8193193038347899,0.289802242068454,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,26,random_26,-61255084.55907879,True,0,True,0.7733972347665254,0.11849612502159183,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,27,random_27,-188.9695937111029,True,0,True,0.8193006486337435,0.2898256443764123,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,28,random_28,-188.96959356797595,True,0,True,0.8193232013396916,0.2898056570145907,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,29,random_29,-188.96959385778212,True,0,True,0.8192767732078478,0.2898344757925922,proxy_from_log_variance,
M003,normal,Normal,Constant_anchor,Constant,EGARCH,"EGARCH(1,1)","(1,1)",primary,30,random_30,-188.9695936034907,True,0,True,0.8193286255577231,0.2898157139619989,proxy_from_log_variance,
